,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
0,Eukaryota,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Black footed Albatross
1,Eukaryota,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Laysan Albatross
2,Eukaryota,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,Sooty Albatross
3,Eukaryota,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,Groove billed Ani
4,Eukaryota,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Crested Auklet
5,Eukaryota,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Least Auklet
6,Eukaryota,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Parakeet Auklet
7,Eukaryota,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cerorhinca,Rhinoceros Auklet
8,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,Brewer Blackbird
9,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Red winged Blackbird
10,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,Rusty Blackbird
11,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthocephalus,Yellow headed Blackbird
12,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Bobolink
13,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Indigo Bunting
14,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Lazuli Bunting
15,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Passerina,Painted Bunting
16,,,,,,,,Cardinal
17,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,Spotted Catbird
18,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Mimidae,Dumetella,Gray Catbird
19,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Icteriidae,Icteria,Yellow breasted Chat
20,Eukaryota,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,Eastern Towhee
21,Eukaryota,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,Chuck will Widow
22,Eukaryota,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile,Brandt Cormorant
23,Eukaryota,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile,Red faced Cormorant
